"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station"
1,2013,3,1,0,4,4,4,7,300,77,-0.7,1023,-18.8,0,"NNW",4.4,"Aotizhongxin"
2,2013,3,1,1,8,8,4,7,300,77,-1.1,1023.2,-18.2,0,"N",4.7,"Aotizhongxin"
3,2013,3,1,2,7,7,5,10,300,73,-1.1,1023.5,-18.2,0,"NNW",5.6,"Aotizhongxin"
4,2013,3,1,3,6,6,11,11,300,72,-1.4,1024.5,-19.4,0,"NW",3.1,"Aotizhongxin"
5,2013,3,1,4,3,3,12,12,300,72,-2,1025.2,-19.5,0,"N",2,"Aotizhongxin"
6,2013,3,1,5,5,5,18,18,400,66,-2.2,1025.6,-19.6,0,"N",3.7,"Aotizhongxin"
7,2013,3,1,6,3,3,18,32,500,50,-2.6,1026.5,-19.1,0,"NNE",2.5,"Aotizhongxin"
8,2013,3,1,7,3,6,19,41,500,43,-1.6,1027.4,-19.1,0,"NNW",3.8,"Aotizhongxin"
9,2013,3,1,8,3,6,16,43,500,45,0.1,1028.3,-19.2,0,"NNW",4.1,"Aotizhongxin"
10,2013,3,1,9,3,8,12,28,400,59,1.2,1028.5,-19.3,0,"N",2.6,"Aotizhongxin"
11,2013,3,1,10,3,6,9,12,400,72,1.9,1028.2,-19.4,0,"NNW",3.6,"Aotizhongxin"
12,2013,3,1,11,3,6,9,14,400,71,2.9,1028.2,-20.5,0,"N",3.7,"Aotizhongxin"
13,2013,3,1,12,3,6,7,13,300,74,3.9,1027.3,-19.7,0,"NNW",5.1,"Aotizhongxin"
14,2013,3,1,13,3,6,7,12,400,76,5.3,1026.2,-19.3,0,"NW",4.3,"Aotizhongxin"
15,2013,3,1,14,6,9,7,11,400,77,6,1025.9,-19.6,0,"NW",4.4,"Aotizhongxin"
16,2013,3,1,15,8,15,7,14,400,76,6.2,1025.7,-18.6,0,"NNE",2.8,"Aotizhongxin"
17,2013,3,1,16,9,19,9,13,400,76,5.9,1025.6,-18.1,0,"NNW",3.9,"Aotizhongxin"
18,2013,3,1,17,10,23,11,15,400,74,4.3,1026.3,-18.7,0,"NNE",2.8,"Aotizhongxin"
19,2013,3,1,18,11,20,8,20,500,70,3.1,1027.4,-18.4,0,"NNE",2.1,"Aotizhongxin"
20,2013,3,1,19,8,14,12,30,500,60,2.3,1028.3,-18.4,0,"N",2.8,"Aotizhongxin"
21,2013,3,1,20,11,17,13,33,600,55,1.7,1029.1,-17.3,0,"N",2.1,"Aotizhongxin"
22,2013,3,1,21,12,18,16,35,500,50,0.6,1030.1,-16.7,0,"ENE",0.8,"Aotizhongxin"
23,2013,3,1,22,15,19,21,57,700,32,0.9,1030.5,-17.4,0,"ENE",1.8,"Aotizhongxin"
24,2013,3,1,23,24,24,26,54,600,36,-0.2,1030.5,-17.4,0,"ENE",1.4,"Aotizhongxin"
25,2013,3,2,0,22,24,24,44,500,44,-0.4,1031,-17.6,0,"ENE",1.4,"Aotizhongxin"
26,2013,3,2,1,14,17,21,36,400,50,-1,1031.3,-17.3,0,"NNE",1.1,"Aotizhongxin"
27,2013,3,2,2,13,13,20,37,400,47,-1.5,1030.9,-16.9,0,"E",1.7,"Aotizhongxin"
28,2013,3,2,3,3,9,13,34,400,52,-1.4,1030.6,-17.6,0,"NNE",1.4,"Aotizhongxin"
29,2013,3,2,4,3,7,18,43,400,43,-1.5,1030.8,-17.7,0,"NNW",0.9,"Aotizhongxin"
30,2013,3,2,5,9,11,19,70,500,20,-1.8,1030.1,-17.5,0,"NNE",2,"Aotizhongxin"
31,2013,3,2,6,4,10,28,46,500,39,-2.5,1029.6,-17.7,0,"NW",0.7,"Aotizhongxin"
32,2013,3,2,7,3,11,34,58,500,27,-1.7,1029.8,-17,0,"NE",1.2,"Aotizhongxin"
33,2013,3,2,8,3,7,21,49,500,43,-0.4,1029.6,-17.6,0,"NE",1.8,"Aotizhongxin"
34,2013,3,2,9,10,14,47,62,700,29,0.6,1029.7,-16.7,0,"NE",1.7,"Aotizhongxin"
35,2013,3,2,10,11,19,36,60,600,34,1.7,1028.9,-16.3,0,"W",1.6,"Aotizhongxin"
36,2013,3,2,11,18,29,36,70,800,27,2.2,1028.2,-16.8,0,"SSW",3.1,"Aotizhongxin"
37,2013,3,2,12,26,30,25,76,900,22,2.7,1027.3,-16.4,0,"WSW",2.7,"Aotizhongxin"
38,2013,3,2,13,25,33,20,57,700,39,3.3,1025.7,-16.4,0,"W",1.5,"Aotizhongxin"
39,2013,3,2,14,26,35,22,54,700,43,3.8,1024.8,-16,0,"SE",1.3,"Aotizhongxin"
40,2013,3,2,15,37,40,24,55,700,44,3.9,1024.1,-16.5,0,"WNW",1.2,"Aotizhongxin"
41,2013,3,2,16,37,46,29,63,1000,38,3.5,1023.6,-15.2,0,"WSW",2.5,"Aotizhongxin"
42,2013,3,2,17,44,58,45,77,1200,30,2.2,1023.4,-13.6,0,"SSE",0.4,"Aotizhongxin"
43,2013,3,2,18,54,79,50,80,1100,24,1.2,1023.2,-12.3,0,"W",0.9,"Aotizhongxin"
44,2013,3,2,19,61,86,50,97,1300,10,1.5,1022.9,-13.8,0,"NE",1.2,"Aotizhongxin"
45,2013,3,2,20,67,96,54,108,1399,2,1.2,1022.9,-14.1,0,"NNE",1.2,"Aotizhongxin"
46,2013,3,2,21,74,103,72,107,1399,2,0.6,1022.6,-14.2,0,"NE",1.3,"Aotizhongxin"
47,2013,3,2,22,81,113,84,110,1500,3,-0.6,1022.3,-13.9,0,"NNE",1.4,"Aotizhongxin"
48,2013,3,2,23,93,120,87,107,1700,2,-0.8,1021.1,-13.4,0,"N",1.3,"Aotizhongxin"
