No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
16151,118.0,147.0,58.0,100.0,2000.0,2.0,-5.0,1021.0,-17.2,0.0,SW,0.7,Aotizhongxin,2015-01-02 22:00:00
16152,137.0,179.0,63.0,101.0,2100.0,2.0,-6.0,1018.0,-14.3,0.0,NNW,0.7,Aotizhongxin,2015-01-02 23:00:00
16153,141.0,215.0,59.0,100.0,2300.0,2.0,-7.0,1016.0,-15.9,0.0,SSE,0.4,Aotizhongxin,2015-01-03 00:00:00
16154,136.0,158.0,65.0,106.0,3000.0,2.0,-7.0,1016.0,-12.7,0.0,ESE,0.4,Aotizhongxin,2015-01-03 01:00:00
16155,132.0,163.0,56.0,107.0,3000.0,2.0,-6.0,1014.0,-16.9,0.0,NE,1.1,Aotizhongxin,2015-01-03 02:00:00
16156,148.0,181.0,66.0,113.0,3800.0,2.0,-6.0,1019.0,-16.9,0.0,NE,1.0,Aotizhongxin,2015-01-03 03:00:00
16157,178.0,222.0,87.0,119.0,4800.0,2.0,-5.0,1013.0,-16.8,0.0,ENE,1.2,Aotizhongxin,2015-01-03 04:00:00
16158,177.0,209.0,76.0,115.0,4500.0,2.0,-5.0,1014.0,-16.8,0.0,ENE,1.6,Aotizhongxin,2015-01-03 05:00:00
16159,180.0,218.0,79.0,109.0,4500.0,2.0,-4.0,1012.0,-16.6,0.0,ENE,1.6,Aotizhongxin,2015-01-03 06:00:00
16160,171.0,217.0,79.0,107.0,4500.0,2.0,-4.0,1011.0,-17.2,0.0,ENE,1.7,Aotizhongxin,2015-01-03 07:00:00
16161,162.0,202.0,93.0,99.0,4000.0,2.0,-4.0,1014.0,-16.9,0.0,NE,1.8,Aotizhongxin,2015-01-03 08:00:00
16162,152.0,200.0,99.0,95.0,3900.0,2.0,-4.0,1013.0,-16.3,0.0,NE,1.7,Aotizhongxin,2015-01-03 09:00:00
16163,147.0,194.0,97.0,95.0,3800.0,2.0,-1.0,1012.0,-14.9,0.0,ENE,2.0,Aotizhongxin,2015-01-03 10:00:00
16164,139.0,176.0,92.0,96.0,3300.0,2.0,0.0,1009.0,-16.4,0.0,E,0.9,Aotizhongxin,2015-01-03 11:00:00
16165,145.0,181.0,94.0,102.0,3200.0,2.0,1.0,1010.0,-16.4,0.0,E,0.8,Aotizhongxin,2015-01-03 12:00:00
16166,168.0,195.0,93.0,108.0,3100.0,3.0,3.0,1007.0,-16.2,0.0,NNW,1.0,Aotizhongxin,2015-01-03 13:00:00
16167,167.0,193.0,83.0,112.0,2800.0,7.0,3.0,1006.0,-17.3,0.0,NE,0.9,Aotizhongxin,2015-01-03 14:00:00
16168,161.0,191.0,78.0,122.0,2900.0,2.0,4.0,1010.0,-16.4,0.0,NNW,0.7,Aotizhongxin,2015-01-03 15:00:00
16169,158.0,182.0,76.0,129.0,2900.0,2.0,3.0,1006.0,-15.7,0.0,WNW,1.0,Aotizhongxin,2015-01-03 16:00:00
16170,158.0,187.0,67.0,135.0,3100.0,2.0,0.0,1010.0,-15.2,0.0,WSW,0.8,Aotizhongxin,2015-01-03 17:00:00
16171,154.0,179.0,54.0,134.0,3100.0,2.0,-2.0,1007.0,-12.1,0.0,WNW,0.6,Aotizhongxin,2015-01-03 18:00:00
16172,168.0,202.0,67.0,140.0,3800.0,2.0,-4.0,1010.0,-15.0,0.0,ENE,0.8,Aotizhongxin,2015-01-03 19:00:00
16173,185.0,217.0,83.0,150.0,3700.0,2.0,-5.0,1011.0,-13.4,0.0,WNW,0.9,Aotizhongxin,2015-01-03 20:00:00
16174,179.0,210.0,68.0,145.0,3800.0,2.0,-5.0,1009.0,-13.6,0.0,E,0.2,Aotizhongxin,2015-01-03 21:00:00
16175,176.0,202.0,60.0,139.0,3800.0,2.0,-6.0,1011.0,-13.2,0.0,ENE,0.4,Aotizhongxin,2015-01-03 22:00:00
16176,182.0,218.0,67.0,141.0,3800.0,2.0,-7.0,1006.0,-12.3,0.0,NE,0.7,Aotizhongxin,2015-01-03 23:00:00
16177,238.0,278.0,103.0,157.0,5600.0,2.0,-4.0,1011.0,-13.7,0.0,ENE,1.5,Aotizhongxin,2015-01-04 00:00:00
16178,302.0,354.0,154.0,166.0,7000.0,2.0,-4.0,1007.0,-15.0,0.0,ENE,1.3,Aotizhongxin,2015-01-04 01:00:00
16179,319.0,356.0,161.0,160.0,7100.0,2.0,-6.0,1011.0,-14.3,0.0,NW,1.0,Aotizhongxin,2015-01-04 02:00:00
16180,276.0,313.0,123.0,141.0,6100.0,2.0,-7.0,1012.0,-12.5,0.0,S,0.6,Aotizhongxin,2015-01-04 03:00:00
16181,180.0,180.0,72.0,107.0,3700.0,2.0,-8.0,1011.0,-14.0,0.0,NW,0.6,Aotizhongxin,2015-01-04 04:00:00
16182,188.0,188.0,60.0,108.0,4100.0,2.0,-7.0,1007.0,-12.9,0.0,E,0.7,Aotizhongxin,2015-01-04 05:00:00
16183,148.0,148.0,54.0,95.0,2900.0,2.0,-4.0,1009.0,-12.4,0.0,N,0.9,Aotizhongxin,2015-01-04 06:00:00
16184,149.0,166.0,53.0,99.0,3300.0,2.0,-4.0,1009.0,-13.7,0.0,NE,1.0,Aotizhongxin,2015-01-04 07:00:00
16185,210.0,234.0,77.0,114.0,5400.0,2.0,-5.0,1013.0,-12.7,0.0,WNW,1.0,Aotizhongxin,2015-01-04 08:00:00
16186,142.0,147.0,60.0,90.0,3200.0,2.0,-4.0,1010.0,-13.2,0.0,WNW,1.0,Aotizhongxin,2015-01-04 09:00:00
16187,129.0,164.0,61.0,93.0,3300.0,2.0,1.0,1013.0,-13.5,0.0,W,1.1,Aotizhongxin,2015-01-04 10:00:00
16188,110.0,125.0,59.0,96.0,2800.0,2.0,4.0,1015.0,-14.3,0.0,ENE,1.7,Aotizhongxin,2015-01-04 11:00:00
16189,92.0,102.0,39.0,79.0,1900.0,6.0,6.0,1008.0,-15.3,0.0,ENE,2.2,Aotizhongxin,2015-01-04 12:00:00
16190,97.0,115.0,36.0,82.0,1800.0,13.0,8.0,1011.0,-14.9,0.0,ENE,2.0,Aotizhongxin,2015-01-04 13:00:00
16191,100.0,118.0,37.0,83.0,1800.0,21.0,9.0,1012.0,-14.8,0.0,ENE,1.5,Aotizhongxin,2015-01-04 14:00:00
16192,102.0,126.0,44.0,105.0,1900.0,10.0,8.0,1008.0,-14.3,0.0,NE,1.4,Aotizhongxin,2015-01-04 15:00:00
16193,138.0,165.0,59.0,133.0,2300.0,4.0,7.0,1010.0,-14.5,0.0,ENE,1.2,Aotizhongxin,2015-01-04 16:00:00
16194,168.0,219.0,81.0,147.0,2700.0,2.0,5.0,1010.0,-13.4,0.0,ENE,0.9,Aotizhongxin,2015-01-04 17:00:00
16195,192.0,242.0,76.0,156.0,3400.0,2.0,3.0,1008.0,-12.9,0.0,S,1.0,Aotizhongxin,2015-01-04 18:00:00
16196,219.0,276.0,89.0,166.0,4500.0,2.0,4.0,1013.0,-11.6,0.0,WSW,1.1,Aotizhongxin,2015-01-04 19:00:00
16197,267.0,337.0,118.0,184.0,6600.0,2.0,1.0,1012.0,-11.1,0.0,E,0.2,Aotizhongxin,2015-01-04 20:00:00
16198,295.0,364.0,135.0,190.0,7700.0,2.0,0.0,1010.0,-10.5,0.0,NNE,0.7,Aotizhongxin,2015-01-04 21:00:00
16199,281.0,347.0,135.0,181.0,6900.0,2.0,3.0,1010.0,-9.6,0.0,NE,1.3,Aotizhongxin,2015-01-04 22:00:00
16200,213.0,254.0,104.0,150.0,5200.0,2.0,3.0,1009.0,-8.7,0.0,NE,1.5,Aotizhongxin,2015-01-04 23:00:00
16201,214.0,248.0,112.0,147.0,5300.0,2.0,3.0,1009.0,-10.3,0.0,NE,1.6,Aotizhongxin,2015-01-05 00:00:00
16202,195.0,230.0,109.0,131.0,4800.0,2.0,3.0,1009.0,-8.4,0.0,NW,1.0,Aotizhongxin,2015-01-05 01:00:00
16203,176.0,223.0,91.0,124.0,4500.0,2.0,2.0,1011.0,-8.2,0.0,NE,0.9,Aotizhongxin,2015-01-05 02:00:00
16204,156.0,189.0,83.0,114.0,4300.0,2.0,1.0,1012.0,-8.0,0.0,NE,1.2,Aotizhongxin,2015-01-05 03:00:00
16205,172.0,207.0,94.0,116.0,4600.0,2.0,2.0,1008.0,-8.2,0.0,ENE,0.8,Aotizhongxin,2015-01-05 04:00:00
16206,204.0,246.0,115.0,128.0,5800.0,2.0,2.0,1009.0,-8.7,0.0,ENE,1.1,Aotizhongxin,2015-01-05 05:00:00
16207,211.0,257.0,124.0,131.0,6100.0,2.0,1.0,1008.0,-8.3,0.0,E,0.6,Aotizhongxin,2015-01-05 06:00:00
16208,179.0,206.0,107.0,121.0,5200.0,2.0,1.0,1011.0,-7.3,0.0,NE,0.7,Aotizhongxin,2015-01-05 07:00:00
16209,157.0,199.0,113.0,122.0,5300.0,2.0,2.0,1009.0,-8.2,0.0,ENE,1.2,Aotizhongxin,2015-01-05 08:00:00
16210,149.0,197.0,121.0,121.0,5200.0,2.0,3.0,1011.0,-7.8,0.0,ENE,1.0,Aotizhongxin,2015-01-05 09:00:00
16211,183.0,249.0,142.0,136.0,6300.0,2.0,4.0,1013.0,-7.8,0.0,ENE,1.3,Aotizhongxin,2015-01-05 10:00:00
16212,171.0,242.0,138.0,130.0,5000.0,2.0,7.0,1012.0,-9.9,0.0,N,2.0,Aotizhongxin,2015-01-05 11:00:00
