"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.17","","","","2"
"1995-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.29","","","","2"
"1995-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.12","","","","2"
"1995-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.38","","","","2"
"1995-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.00","","","","2"
"1995-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.19","","","","2"
"1995-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.26","","","","2"
"1995-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.07","","","","2"
"1995-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.08","","","","2"
"1995-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.92","","","","2"
"1995-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.49","","","","2"
"1995-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.88","","","","2"
"1996-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.63","","","","2"
"1996-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.96","","","","2"
"1996-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.46","","","","2"
"1996-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.94","","","","2"
"1996-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.65","","","","2"
"1996-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.65","","","","2"
"1996-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.32","","","","2"
